director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combination,actor_4_name
Floria Sigismondi,Kristen Stewart,Scout Taylor-Compton,Johnny Lewis,Biography Drama Music,the runaways,Kristen Stewart Scout Taylor-Compton Johnny Lewis Floria Sigismondi Biography Drama Music,unknown
Norman Jewison,Topol,Paul Michael Glaser,Rosalind Harris,Drama Family Musical Romance,fiddler on the roof,Topol Paul Michael Glaser Rosalind Harris Norman Jewison Drama Family Musical Romance,unknown
Terence Young,Desmond Llewelyn,Earl Cameron,Lois Maxwell,Action Adventure Thriller,thunderball,Desmond Llewelyn Earl Cameron Lois Maxwell Terence Young Action Adventure Thriller,unknown
Joseph Kahn,Josh Hutcherson,Shanley Caswell,Parker Bagley,Comedy Horror Sci-Fi,detention,Josh Hutcherson Shanley Caswell Parker Bagley Joseph Kahn Comedy Horror Sci-Fi,unknown
Ferzan Ozpetek,Riccardo Scamarcio,Alessandro Preziosi,Lunetta Savino,Comedy Drama Romance,loose cannons,Riccardo Scamarcio Alessandro Preziosi Lunetta Savino Ferzan Ozpetek Comedy Drama Romance,unknown
F. Gary Gray,Vivica A. Fox,Jada Pinkett Smith,Blair Underwood,Action Crime Drama Romance Thriller,set it off,Vivica A. Fox Jada Pinkett Smith Blair Underwood F. Gary Gray Action Crime Drama Romance Thriller,unknown
Malcolm D. Lee,Harold Perrineau,Sanaa Lathan,Jarrod Bunch,Comedy Drama,the best man,Harold Perrineau Sanaa Lathan Jarrod Bunch Malcolm D. Lee Comedy Drama,unknown
Tom Holland,Catherine Hicks,Alex Vincent,Dinah Manoff,Fantasy Horror,child's play,Catherine Hicks Alex Vincent Dinah Manoff Tom Holland Fantasy Horror,unknown
Michael Moore,Michael Moore,Tucker Albrizzi,Bill Clinton,Documentary Drama,sicko,Michael Moore Tucker Albrizzi Bill Clinton Michael Moore Documentary Drama,unknown
James DeMonaco,Noel Gugliemi,Zach Gilford,Roberta Valderrama,Action Horror Sci-Fi Thriller,the purge: anarchy,Noel Gugliemi Zach Gilford Roberta Valderrama James DeMonaco Action Horror Sci-Fi Thriller,unknown
Kris Isacsson,Rosario Dawson,Lauren German,Shawn Hatosy,Comedy Drama Romance,down to you,Rosario Dawson Lauren German Shawn Hatosy Kris Isacsson Comedy Drama Romance,unknown
Danny Leiner,Ethan Embry,Fred Willard,Paula Garcés,Adventure Comedy,harold & kumar go to white castle,Ethan Embry Fred Willard Paula Garcés Danny Leiner Adventure Comedy,unknown
Rod Lurie,Jeff Bridges,Gary Oldman,William Petersen,Drama Thriller,the contender,Jeff Bridges Gary Oldman William Petersen Rod Lurie Drama Thriller,unknown
Ben Younger,Vin Diesel,Nia Long,Herbert Russell,Crime Drama Thriller,boiler room,Vin Diesel Nia Long Herbert Russell Ben Younger Crime Drama Thriller,unknown
John Landis,Don Ameche,Denholm Elliott,Ralph Bellamy,Comedy,trading places,Don Ameche Denholm Elliott Ralph Bellamy John Landis Comedy,unknown
Glen Morgan,Oliver Hudson,Crystal Lowe,Andrea Martin,Horror,black christmas,Oliver Hudson Crystal Lowe Andrea Martin Glen Morgan Horror,unknown
Daniel Taplitz,Jennifer Esposito,Tate Taylor,Patrick Cranshaw,Comedy Romance,breakin' all the rules,Jennifer Esposito Tate Taylor Patrick Cranshaw Daniel Taplitz Comedy Romance,unknown
Kenneth Branagh,Brian Blessed,Derek Jacobi,Danny Webb,Action Biography Drama History Romance War,henry v,Brian Blessed Derek Jacobi Danny Webb Kenneth Branagh Action Biography Drama History Romance War,unknown
Tamara Jenkins,Philip Seymour Hoffman,David Zayas,Gbenga Akinnagbe,Comedy Drama,the savages,Philip Seymour Hoffman David Zayas Gbenga Akinnagbe Tamara Jenkins Comedy Drama,unknown
Linda Mendoza,Carlos Ponce,Freddy Rodríguez,Maria Conchita Alonso,Comedy Romance,chasing papi,Carlos Ponce Freddy Rodríguez Maria Conchita Alonso Linda Mendoza Comedy Romance,unknown
Christopher McQuarrie,Kristin Lehman,Nicky Katt,Dylan Kussman,Action Crime Drama Thriller,the way of the gun,Kristin Lehman Nicky Katt Dylan Kussman Christopher McQuarrie Action Crime Drama Thriller,unknown
Burr Steers,Kieran Culkin,Rory Culkin,Bill Irwin,Comedy Drama,igby goes down,Kieran Culkin Rory Culkin Bill Irwin Burr Steers Comedy Drama,unknown
Hart Bochner,Jon Favreau,Matt Ross,Chris Young,Comedy,pcu,Jon Favreau Matt Ross Chris Young Hart Bochner Comedy,unknown
Michael O. Sajbel,Bill Cobbs,Drew Fuller,Mircea Monroe,Drama Family Romance,the ultimate gift,Bill Cobbs Drew Fuller Mircea Monroe Michael O. Sajbel Drama Family Romance,unknown
unknown,Ronn Moss,Katherine Kelly Lang,Hunter Tylo,Drama Romance,the bold and the beautiful            ,Ronn Moss Katherine Kelly Lang Hunter Tylo unknown Drama Romance,unknown
Stewart Raffill,Anjelica Huston,John Carradine,Robert Urich,Action Adventure Comedy Romance Sci-Fi,the ice pirates,Anjelica Huston John Carradine Robert Urich Stewart Raffill Action Adventure Comedy Romance Sci-Fi,unknown
Davis Guggenheim,Emma Bell,John Doman,Carly Schroeder,Biography Drama Sport,gracie,Emma Bell John Doman Carly Schroeder Davis Guggenheim Biography Drama Sport,unknown
Bart Freundlich,Billy Crudup,Garry Shandling,Dagmara Dominczyk,Comedy Drama Romance,trust the man,Billy Crudup Garry Shandling Dagmara Dominczyk Bart Freundlich Comedy Drama Romance,unknown
Andrew Fleming,Steve Coogan,Amy Poehler,David Arquette,Comedy Music,hamlet 2,Steve Coogan Amy Poehler David Arquette Andrew Fleming Comedy Music,unknown
Todd Haynes,Christian Bale,Eddie Izzard,Janet McTeer,Drama Music,velvet goldmine,Christian Bale Eddie Izzard Janet McTeer Todd Haynes Drama Music,unknown
Hong-jin Na,Jung-min Hwang,Jun Kunimura,Woo-hee Chun,Fantasy Horror Mystery Thriller,the wailing,Jung-min Hwang Jun Kunimura Woo-hee Chun Hong-jin Na Fantasy Horror Mystery Thriller,unknown
Kevin Tancharoen,Lea Michele,Heather Morris,Kevin McHale,Documentary Music,glee: the 3d concert movie,Lea Michele Heather Morris Kevin McHale Kevin Tancharoen Documentary Music,unknown
Chatrichalerm Yukol,Sarunyu Wongkrachang,Chatchai Plengpanich,Mai Charoenpura,Action Adventure Drama History War,the legend of suriyothai,Sarunyu Wongkrachang Chatchai Plengpanich Mai Charoenpura Chatrichalerm Yukol Action Adventure Drama History War,unknown
Dario Argento,John Amos,Adrienne Barbeau,Sally Kirkland,Horror,two evil eyes,John Amos Adrienne Barbeau Sally Kirkland Dario Argento Horror,unknown
Eric Lavaine,Lambert Wilson,Julie Engelbrecht,Lionel Abelanski,Comedy,barbecue,Lambert Wilson Julie Engelbrecht Lionel Abelanski Eric Lavaine Comedy,unknown
Mike Leigh,Lesley Manville,Ruth Sheen,Gary McDonald,Drama,all or nothing,Lesley Manville Ruth Sheen Gary McDonald Mike Leigh Drama,unknown
Marc Forby,Q'orianka Kilcher,Will Patton,Shaun Evans,Drama,princess kaiulani,Q'orianka Kilcher Will Patton Shaun Evans Marc Forby Drama,unknown
Peter Cattaneo,Jacqueline McKenzie,Vince Colosimo,Peter Callan,Drama Family,opal dream,Jacqueline McKenzie Vince Colosimo Peter Callan Peter Cattaneo Drama Family,unknown
Scott Mann,Robert De Niro,Joshua Mikel,D.B. Sweeney,Action Crime Thriller,heist,Robert De Niro Joshua Mikel D.B. Sweeney Scott Mann Action Crime Thriller,unknown
Ole Christian Madsen,Lars Mikkelsen,Thure Lindhardt,Christian Berkel,Drama History Thriller War,flame and citron,Lars Mikkelsen Thure Lindhardt Christian Berkel Ole Christian Madsen Drama History Thriller War,unknown
Meiert Avis,Fisher Stevens,Kip Pardue,Perrey Reeves,Comedy Music Romance,undiscovered,Fisher Stevens Kip Pardue Perrey Reeves Meiert Avis Comedy Music Romance,unknown
Julian Jarrold,Andrew Garfield,Warren Clarke,John Henshaw,Crime Drama Mystery Thriller,red riding: in the year of our lord 1974,Andrew Garfield Warren Clarke John Henshaw Julian Jarrold Crime Drama Mystery Thriller,unknown
André Téchiné,Catherine Deneuve,Ronit Elkabetz,Émilie Dequenne,Drama,the girl on the train,Catherine Deneuve Ronit Elkabetz Émilie Dequenne André Téchiné Drama,unknown
Emily Young,Sarah Michelle Gellar,Erika Christensen,Jonathan Tucker,Drama Romance,veronika decides to die,Sarah Michelle Gellar Erika Christensen Jonathan Tucker Emily Young Drama Romance,unknown
Peter Faiman,Paul Hogan,Linda Kozlowski,David Gulpilil,Adventure Comedy,crocodile dundee,Paul Hogan Linda Kozlowski David Gulpilil Peter Faiman Adventure Comedy,unknown
Martyn Pick,Sean Pertwee,Steven Waddington,Donald Sumpter,Action Animation Fantasy Horror Mystery Sci-Fi Thriller,"ultramarines: a warhammer 40,000 movie",Sean Pertwee Steven Waddington Donald Sumpter Martyn Pick Action Animation Fantasy Horror Mystery Sci-Fi Thriller,unknown
Roland Suso Richter,Stephen Graham,Sarah Polley,Stephen Rea,Mystery Sci-Fi Thriller,the i inside,Stephen Graham Sarah Polley Stephen Rea Roland Suso Richter Mystery Sci-Fi Thriller,unknown
Jeremy Sims,Harrison Gilbertson,Gyton Grantley,Steve Le Marquand,Drama History War,beneath hill 60,Harrison Gilbertson Gyton Grantley Steve Le Marquand Jeremy Sims Drama History War,unknown
Maïwenn,Riccardo Scamarcio,Maïwenn,Karin Viard,Crime Drama,polisse,Riccardo Scamarcio Maïwenn Karin Viard Maïwenn Crime Drama,unknown
Joby Harold,Hayden Christensen,Fisher Stevens,Denis O'Hare,Crime Mystery Thriller,awake,Hayden Christensen Fisher Stevens Denis O'Hare Joby Harold Crime Mystery Thriller,unknown
unknown,Dee Bradley Baker,James Arnold Taylor,Tom Kane,Action Adventure Animation Drama Fantasy Sci-Fi,star wars: the clone wars            ,Dee Bradley Baker James Arnold Taylor Tom Kane unknown Action Adventure Animation Drama Fantasy Sci-Fi,unknown
Ekachai Uekrongtham,Michael Jai White,Mike Dopud,Celina Jade,Action Crime Thriller,skin trade,Michael Jai White Mike Dopud Celina Jade Ekachai Uekrongtham Action Crime Thriller,unknown
Joel Schumacher,Dianne Wiest,Jami Gertz,Jason Patric,Comedy Fantasy Horror,the lost boys,Dianne Wiest Jami Gertz Jason Patric Joel Schumacher Comedy Fantasy Horror,unknown
Scott Cooper,Jeff Bridges,Beth Grant,Debrianna Mansini,Drama Music Romance,crazy heart,Jeff Bridges Beth Grant Debrianna Mansini Scott Cooper Drama Music Romance,unknown
Mark Rydell,David Keith,Frederic Forrest,Alan Bates,Drama Music Romance,the rose,David Keith Frederic Forrest Alan Bates Mark Rydell Drama Music Romance,unknown
David E. Talbert,Djimon Hounsou,Christina Milian,Boris Kodjoe,Comedy,baggage claim,Djimon Hounsou Christina Milian Boris Kodjoe David E. Talbert Comedy,unknown
Roger Vadim,Jane Fonda,David Hemmings,Milo O'Shea,Adventure Comedy Fantasy Sci-Fi,barbarella,Jane Fonda David Hemmings Milo O'Shea Roger Vadim Adventure Comedy Fantasy Sci-Fi,unknown
Nils Gaup,Bjørn Sundquist,Louisa Milwood-Haigh,Stian Smestad,Adventure Family,shipwrecked,Bjørn Sundquist Louisa Milwood-Haigh Stian Smestad Nils Gaup Adventure Family,unknown
Alexander Payne,Matthew Broderick,Chris Klein,Molly Hagan,Comedy Drama,election,Matthew Broderick Chris Klein Molly Hagan Alexander Payne Comedy Drama,unknown
Mira Nair,Jacinda Barrett,Brooke Smith,Tabu,Drama,the namesake,Jacinda Barrett Brooke Smith Tabu Mira Nair Drama,unknown
Ari Sandel,Bella Thorne,Romany Malco,Skyler Samuels,Comedy,the duff,Bella Thorne Romany Malco Skyler Samuels Ari Sandel Comedy,unknown
Vondie Curtis-Hall,Mariah Carey,Max Beesley,Valarie Pettiford,Drama Music Romance,glitter,Mariah Carey Max Beesley Valarie Pettiford Vondie Curtis-Hall Drama Music Romance,unknown
Tom Elkins,Abigail Spencer,Cicely Tyson,Brad James,Drama Horror Mystery Thriller,the haunting in connecticut 2: ghosts of georgia,Abigail Spencer Cicely Tyson Brad James Tom Elkins Drama Horror Mystery Thriller,unknown
Woo-Suk Kang,Yu-mi Jeong,Sung-kee Ahn,Kyung-gu Sol,Action Drama,silmido,Yu-mi Jeong Sung-kee Ahn Kyung-gu Sol Woo-Suk Kang Action Drama,unknown
Jane Campion,Abbie Cornish,Paul Schneider,Samuel Roukin,Biography Drama Romance,bright star,Abbie Cornish Paul Schneider Samuel Roukin Jane Campion Biography Drama Romance,unknown
Karan Johar,Shah Rukh Khan,Jimmy Shergill,Christopher B. Duncan,Adventure Drama Thriller,my name is khan,Shah Rukh Khan Jimmy Shergill Christopher B. Duncan Karan Johar Adventure Drama Thriller,unknown
Herbert Ross,Dianne Wiest,Chris Penn,Lori Singer,Drama Music Romance,footloose,Dianne Wiest Chris Penn Lori Singer Herbert Ross Drama Music Romance,unknown
J.C. Chandor,Robert Redford,unknown,unknown,Action Adventure Drama,all is lost,Robert Redford unknown unknown J.C. Chandor Action Adventure Drama,unknown
John Sayles,Mary Elizabeth Mastrantonio,Casey Siemaszko,Vanessa Martinez,Adventure Drama Thriller,limbo,Mary Elizabeth Mastrantonio Casey Siemaszko Vanessa Martinez John Sayles Adventure Drama Thriller,unknown
Vipul Amrutlal Shah,Katrina Kaif,Clive Standen,Riteish Deshmukh,Comedy Drama Romance,namastey london,Katrina Kaif Clive Standen Riteish Deshmukh Vipul Amrutlal Shah Comedy Drama Romance,unknown
Ken Loach,Padraic Delaney,Orla Fitzgerald,Martin Lucey,Drama War,the wind that shakes the barley,Padraic Delaney Orla Fitzgerald Martin Lucey Ken Loach Drama War,unknown
Ayan Mukerji,Ranbir Kapoor,Madhuri Dixit,Aditya Roy Kapoor,Comedy Drama Musical Romance,yeh jawaani hai deewani,Ranbir Kapoor Madhuri Dixit Aditya Roy Kapoor Ayan Mukerji Comedy Drama Musical Romance,unknown
John G. Avildsen,Martin Kove,William Zabka,William Bassett,Action Drama Family Sport,the karate kid,Martin Kove William Zabka William Bassett John G. Avildsen Action Drama Family Sport,unknown
Mervyn LeRoy,Peter Ustinov,Deborah Kerr,Robert Taylor,Biography Drama History Romance,quo vadis,Peter Ustinov Deborah Kerr Robert Taylor Mervyn LeRoy Biography Drama History Romance,unknown
Darren Lynn Bousman,Alexa PenaVega,Paris Hilton,Paul Sorvino,Horror Musical Sci-Fi,repo! the genetic opera,Alexa PenaVega Paris Hilton Paul Sorvino Darren Lynn Bousman Horror Musical Sci-Fi,unknown
Serdar Akar,Necati Sasmaz,Bergüzar Korel,Ghassan Massoud,Action Adventure,valley of the wolves: iraq,Necati Sasmaz Bergüzar Korel Ghassan Massoud Serdar Akar Action Adventure,unknown
Quentin Tarantino,Bruce Willis,Eric Stoltz,Phil LaMarr,Crime Drama,pulp fiction,Bruce Willis Eric Stoltz Phil LaMarr Quentin Tarantino Crime Drama,unknown
James Frawley,Madeline Kahn,Jim Henson,Dom DeLuise,Adventure Comedy Family Musical,the muppet movie,Madeline Kahn Jim Henson Dom DeLuise James Frawley Adventure Comedy Family Musical,unknown
Dan Gilroy,Jake Gyllenhaal,Michael Papajohn,James Huang,Crime Drama Thriller,nightcrawler,Jake Gyllenhaal Michael Papajohn James Huang Dan Gilroy Crime Drama Thriller,unknown
Jay Chandrasekhar,Brittany Daniel,Lindsay Price,Jay Chandrasekhar,Comedy Horror Thriller,club dread,Brittany Daniel Lindsay Price Jay Chandrasekhar Jay Chandrasekhar Comedy Horror Thriller,unknown
Robert Wise,Eleanor Parker,Angela Cartwright,Nicholas Hammond,Biography Drama Family Musical Romance,the sound of music,Eleanor Parker Angela Cartwright Nicholas Hammond Robert Wise Biography Drama Family Musical Romance,unknown
Ron Howard,Tom Hanks,Howard Morris,Patrick Cronin,Comedy Fantasy Romance,splash,Tom Hanks Howard Morris Patrick Cronin Ron Howard Comedy Fantasy Romance,unknown
Jonathan Dayton,Steve Carell,Steven Christopher Parker,Jill Talley,Comedy Drama,little miss sunshine,Steve Carell Steven Christopher Parker Jill Talley Jonathan Dayton Comedy Drama,unknown
Rob Reiner,Marshall Bell,Frances Lee McCain,Casey Siemaszko,Adventure Drama,stand by me,Marshall Bell Frances Lee McCain Casey Siemaszko Rob Reiner Adventure Drama,unknown
Danny Boyle,Noah Huntley,Megan Burns,David Schneider,Drama Horror Sci-Fi Thriller,28 days later...,Noah Huntley Megan Burns David Schneider Danny Boyle Drama Horror Sci-Fi Thriller,unknown
Chris Stokes,Jennifer Freeman,Marques Houston,Steve Harvey,Drama Music,you got served,Jennifer Freeman Marques Houston Steve Harvey Chris Stokes Drama Music,unknown
Don Siegel,Clint Eastwood,Patrick McGoohan,Fred Ward,Biography Crime Drama,escape from alcatraz,Clint Eastwood Patrick McGoohan Fred Ward Don Siegel Biography Crime Drama,unknown
Rick Famuyiwa,Boris Kodjoe,Sanaa Lathan,Wendell Pierce,Comedy Drama Music Romance,brown sugar,Boris Kodjoe Sanaa Lathan Wendell Pierce Rick Famuyiwa Comedy Drama Music Romance,unknown
Martin Lawrence,Faizon Love,Lynn Whitfield,Della Reese,Comedy Crime Drama Romance Thriller,a thin line between love and hate,Faizon Love Lynn Whitfield Della Reese Martin Lawrence Comedy Crime Drama Romance Thriller,unknown
Jonathan Levine,Joseph Gordon-Levitt,Anna Kendrick,Bryce Dallas Howard,Comedy Drama Romance,50/50,Joseph Gordon-Levitt Anna Kendrick Bryce Dallas Howard Jonathan Levine Comedy Drama Romance,unknown
Masayuki Ochiai,James Kyson,David Denman,Daisy Betts,Horror Mystery Thriller,shutter,James Kyson David Denman Daisy Betts Masayuki Ochiai Horror Mystery Thriller,unknown
George A. Romero,Ted Danson,Hal Holbrook,Adrienne Barbeau,Comedy Fantasy Horror,creepshow,Ted Danson Hal Holbrook Adrienne Barbeau George A. Romero Comedy Fantasy Horror,unknown
Tom Gormican,Mackenzie Davis,Lola Glaudini,Josh Pais,Comedy Romance,that awkward moment,Mackenzie Davis Lola Glaudini Josh Pais Tom Gormican Comedy Romance,unknown
Ken Shapiro,Brian Doyle-Murray,Dabney Coleman,Mary Kay Place,Comedy Fantasy Sci-Fi,modern problems,Brian Doyle-Murray Dabney Coleman Mary Kay Place Ken Shapiro Comedy Fantasy Sci-Fi,unknown
Justin Tipping,Tina Gilton,Natalie Stephany Aguilar,Justin Hall,Adventure,kicks,Tina Gilton Natalie Stephany Aguilar Justin Hall Justin Tipping Adventure,unknown
Kenneth Branagh,Keanu Reeves,Denzel Washington,Brian Blessed,Comedy Drama Romance,much ado about nothing,Keanu Reeves Denzel Washington Brian Blessed Kenneth Branagh Comedy Drama Romance,unknown
Peter R. Hunt,Telly Savalas,George Lazenby,Desmond Llewelyn,Action Adventure Thriller,on her majesty's secret service,Telly Savalas George Lazenby Desmond Llewelyn Peter R. Hunt Action Adventure Thriller,unknown
unknown,Nick Wechsler,Philip Winchester,Jeff Marlow,Action Crime Drama Thriller,the player            ,Nick Wechsler Philip Winchester Jeff Marlow unknown Action Crime Drama Thriller,unknown
Wes Craven,Miko Hughes,Heather Langenkamp,Tracy Middendorf,Fantasy Horror Mystery Thriller,new nightmare,Miko Hughes Heather Langenkamp Tracy Middendorf Wes Craven Fantasy Horror Mystery Thriller,unknown
John Schultz,Stephen Collins,Mark Webber,Keri Lynn Pratt,Comedy Drama Romance,drive me crazy,Stephen Collins Mark Webber Keri Lynn Pratt John Schultz Comedy Drama Romance,unknown
Doug Atchison,Curtis Armstrong,Sean Michael Afable,Tzi Ma,Drama,akeelah and the bee,Curtis Armstrong Sean Michael Afable Tzi Ma Doug Atchison Drama,unknown
Tamra Davis,Dave Chappelle,Harland Williams,Clarence Williams III,Comedy Crime,half baked,Dave Chappelle Harland Williams Clarence Williams III Tamra Davis Comedy Crime,unknown
Jonas Elmer,J.K. Simmons,Frances Conroy,Harry Connick Jr.,Comedy Romance,new in town,J.K. Simmons Frances Conroy Harry Connick Jr. Jonas Elmer Comedy Romance,unknown
Stephen Gaghan,Matt Damon,Amr Waked,Kayvan Novak,Drama Thriller,syriana,Matt Damon Amr Waked Kayvan Novak Stephen Gaghan Drama Thriller,unknown
Mary Harron,Christian Bale,Justin Theroux,Samantha Mathis,Crime Drama,american psycho,Christian Bale Justin Theroux Samantha Mathis Mary Harron Crime Drama,unknown
Miguel Arteta,Jake Gyllenhaal,Zooey Deschanel,Tim Blake Nelson,Drama Romance,the good girl,Jake Gyllenhaal Zooey Deschanel Tim Blake Nelson Miguel Arteta Drama Romance,unknown
Erik Canuel,Colm Feore,Richard Howland,Sarain Boylan,Action Comedy Crime Thriller,bon cop bad cop,Colm Feore Richard Howland Sarain Boylan Erik Canuel Action Comedy Crime Thriller,unknown
Troy Duffy,Norman Reedus,Julie Benz,Clifton Collins Jr.,Action Crime Thriller,the boondock saints ii: all saints day,Norman Reedus Julie Benz Clifton Collins Jr. Troy Duffy Action Crime Thriller,unknown
James Ivory,Alexandra Maria Lara,Omar Metwally,Diego Velazquez,Drama Romance,the city of your final destination,Alexandra Maria Lara Omar Metwally Diego Velazquez James Ivory Drama Romance,unknown
Nicole Holofcener,Christopher Nicholas Smith,Ben Falcone,Michaela Watkins,Comedy Drama Romance,enough said,Christopher Nicholas Smith Ben Falcone Michaela Watkins Nicole Holofcener Comedy Drama Romance,unknown
Will Gluck,Emma Stone,Dan Byrd,Fred Armisen,Comedy Romance,easy a,Emma Stone Dan Byrd Fred Armisen Will Gluck Comedy Romance,unknown
Matty Rich,Jada Pinkett Smith,Joe Morton,Larenz Tate,Comedy Drama Romance,the inkwell,Jada Pinkett Smith Joe Morton Larenz Tate Matty Rich Comedy Drama Romance,unknown
E. Elias Merhige,Eddie Izzard,Udo Kier,Catherine McCormack,Drama Horror,shadow of the vampire,Eddie Izzard Udo Kier Catherine McCormack E. Elias Merhige Drama Horror,unknown
Joe Nussbaum,Cameron Monaghan,Thomas McDonell,Aimee Teegarden,Comedy Drama,prom,Cameron Monaghan Thomas McDonell Aimee Teegarden Joe Nussbaum Comedy Drama,unknown
Matt Reeves,Mark Margolis,Michael Rapaport,Carol Kane,Comedy Romance,the pallbearer,Mark Margolis Michael Rapaport Carol Kane Matt Reeves Comedy Romance,unknown
Steve Rash,Barry Corbin,Nia Long,Jake Busey,Comedy,held up,Barry Corbin Nia Long Jake Busey Steve Rash Comedy,unknown
Fina Torres,Harold Perrineau,John de Lancie,Mark Feuerstein,Comedy Fantasy Romance,woman on top,Harold Perrineau John de Lancie Mark Feuerstein Fina Torres Comedy Fantasy Romance,unknown
James Ivory,Anthony Hopkins,Vanessa Redgrave,Samuel West,Drama Romance,howards end,Anthony Hopkins Vanessa Redgrave Samuel West James Ivory Drama Romance,unknown
unknown,Dominic Cooper,Joseph Gilgun,Ruth Negga,Adventure Drama Fantasy Mystery,preacher            ,Dominic Cooper Joseph Gilgun Ruth Negga unknown Adventure Drama Fantasy Mystery,unknown
Duke Johnson,Jennifer Jason Leigh,Tom Noonan,David Thewlis,Animation Comedy Drama Romance,anomalisa,Jennifer Jason Leigh Tom Noonan David Thewlis Duke Johnson Animation Comedy Drama Romance,unknown
Mike Leigh,Jim Broadbent,Imelda Staunton,Phil Davis,Comedy Drama,another year,Jim Broadbent Imelda Staunton Phil Davis Mike Leigh Comedy Drama,unknown
François Ozon,Catherine Deneuve,Isabelle Huppert,Emmanuelle Béart,Comedy Crime Musical Romance,8 women,Catherine Deneuve Isabelle Huppert Emmanuelle Béart François Ozon Comedy Crime Musical Romance,unknown
Mark L. Lester,Cary-Hiroyuki Tagawa,Tia Carrere,Vernee Watson,Action Comedy Crime Thriller,showdown in little tokyo,Cary-Hiroyuki Tagawa Tia Carrere Vernee Watson Mark L. Lester Action Comedy Crime Thriller,unknown
David Dobkin,Janeane Garofalo,Vince Vieluf,Kevin Rahm,Comedy Crime,clay pigeons,Janeane Garofalo Vince Vieluf Kevin Rahm David Dobkin Comedy Crime,unknown
Anna Boden,Zoë Kravitz,Jeremy Davies,Jim Gaffigan,Comedy Drama Romance,it's kind of a funny story,Zoë Kravitz Jeremy Davies Jim Gaffigan Anna Boden Comedy Drama Romance,unknown
Nigel Cole,Bob Hoskins,Robbie Kay,Sally Hawkins,Biography Comedy Drama History,made in dagenham,Bob Hoskins Robbie Kay Sally Hawkins Nigel Cole Biography Comedy Drama History,unknown
Anand Tucker,Colin Firth,Jim Broadbent,Gina McKee,Biography Drama,when did you last see your father?,Colin Firth Jim Broadbent Gina McKee Anand Tucker Biography Drama,unknown
Steve James,Kurtwood Smith,Laurel Holloman,Amy Locane,Biography Drama Romance Sport,prefontaine,Kurtwood Smith Laurel Holloman Amy Locane Steve James Biography Drama Romance Sport,unknown
Michael Winner,Faye Dunaway,Marina Sirtis,John Gielgud,Adventure Drama,the wicked lady,Faye Dunaway Marina Sirtis John Gielgud Michael Winner Adventure Drama,unknown
Tomm Moore,Sean Lennon,Mick Lally,Evan McGuire,Adventure Animation Family Fantasy,the secret of kells,Sean Lennon Mick Lally Evan McGuire Tomm Moore Adventure Animation Family Fantasy,unknown
John Carney,James Corden,Karen Pittman,Mary Catherine Garrison,Drama Music,begin again,James Corden Karen Pittman Mary Catherine Garrison John Carney Drama Music,unknown
David Jacobson,Hunter Parrish,Bruce Dern,Rory Culkin,Drama Romance Thriller,down in the valley,Hunter Parrish Bruce Dern Rory Culkin David Jacobson Drama Romance Thriller,unknown
Michael Corrente,Jerry Ferrara,Tony Devon,Alexa Havins,Crime Drama,brooklyn rules,Jerry Ferrara Tony Devon Alexa Havins Michael Corrente Crime Drama,unknown
Edward Hall,Rufus Sewell,Hayley Atwell,Charlotte Rampling,Drama Romance,restless,Rufus Sewell Hayley Atwell Charlotte Rampling Edward Hall Drama Romance,unknown
Keith Gordon,Robert Downey Jr.,Robin Wright,Alfre Woodard,Comedy Crime Musical Mystery,the singing detective,Robert Downey Jr. Robin Wright Alfre Woodard Keith Gordon Comedy Crime Musical Mystery,unknown
David Leland,Anna Friel,Catherine McCormack,Steven Mackintosh,Drama Romance War,the land girls,Anna Friel Catherine McCormack Steven Mackintosh David Leland Drama Romance War,unknown
Andrew Currie,Alexia Fast,Henry Czerny,Kesun Loder,Comedy Drama Horror Sci-Fi,fido,Alexia Fast Henry Czerny Kesun Loder Andrew Currie Comedy Drama Horror Sci-Fi,unknown
Andrew Wilson,Will Ferrell,Eddie Griffin,Jacob Vargas,Comedy Drama Romance,the wendell baker story,Will Ferrell Eddie Griffin Jacob Vargas Andrew Wilson Comedy Drama Romance,unknown
Jonathan Lynn,Rupert Grint,Rupert Everett,Geoff Bell,Action Comedy Crime,wild target,Rupert Grint Rupert Everett Geoff Bell Jonathan Lynn Action Comedy Crime,unknown
Marc Schölermann,John de Lancie,Larry Drake,Johnny Whitworth,Crime Horror Thriller,pathology,John de Lancie Larry Drake Johnny Whitworth Marc Schölermann Crime Horror Thriller,unknown
unknown,Tom Hardy,Jack O'Connell,Kevin McNally,Drama Romance,wuthering heights            ,Tom Hardy Jack O'Connell Kevin McNally unknown Drama Romance,unknown
Robert Moresco,Brian Dennehy,Brad Renfro,Dash Mihok,Crime Drama Thriller,10th & wolf,Brian Dennehy Brad Renfro Dash Mihok Robert Moresco Crime Drama Thriller,unknown
Thomas Vinterberg,Michael Angarano,Chris Owen,William Hootkins,Comedy Crime Drama Romance,dear wendy,Michael Angarano Chris Owen William Hootkins Thomas Vinterberg Comedy Crime Drama Romance,unknown
Claudia Llosa,Ian Tracey,Zen McGrath,William Shimell,Drama,aloft,Ian Tracey Zen McGrath William Shimell Claudia Llosa Drama,unknown
